athlete_id,main_athlete_name,tournament_id,tournament_name,year,tournament_date,round_name,notable_win,lost_to
58664,Anmol KHARB,5282,KFF Singapore Badminton Open 2025,2025,1 June,R32,,Yu Fei CHEN (5)
58664,Anmol KHARB,5224,PERODUA Malaysia Masters 2025,2025,25 May,Qual. QF,,Yi-Ting HUNG (60)
58664,Anmol KHARB,5233,YONEX Taipei Open 2025,2025,11 May,R32,,Thamonwan NITHIITTIKRAI (72)
58664,Anmol KHARB,5195,YONEX Swiss Open 2025,2025,23 March,R32,,Anupama UPADHYAYA (42)
58664,Anmol Kharb,5242,YONEX German Open 2025,2025,2 March,R32,,Riko Gunji (31)
59687,Unnati HOODA,5282,KFF Singapore Badminton Open 2025,2025,1 June,R32,,Zhi Yi WANG (2)
59687,Unnati HOODA,5224,PERODUA Malaysia Masters 2025,2025,25 May,R32,,Hsiang Ti LIN (29)
59687,Unnati HOODA,5225,TOYOTA Thailand Open 2025,2025,18 May,R16,,Pornpawee CHOCHUWONG (8)
59687,Unnati HOODA,5233,YONEX Taipei Open 2025,2025,11 May,SF,,Tomoka MIYAZAKI (7)
59687,Unnati HOODA,5295,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2025,2025,30 March,R32,,Yi En HSIEH
59687,Unnati HOODA,5251,Orleans Masters Badminton 2025 presented by VICTOR,2025,9 March,R32,,Se Young AN (1)
59687,Unnati Hooda,5242,YONEX German Open 2025,2025,2 March,Qual. QF,,
59687,Unnati Hooda,5190,SBH Singapore International Challenge 2025,2025,23 February,SF,,Ruzana Ruzana
68322,Ayush SHETTY,5224,PERODUA Malaysia Masters 2025,2025,25 May,R16,Brian YANG (34),Toma Junior POPOV (17)
68322,Ayush SHETTY,5225,TOYOTA Thailand Open 2025,2025,18 May,Qual. QF,,Justin HOH (43)
68322,Ayush SHETTY,5233,YONEX Taipei Open 2025,2025,11 May,SF,"Brian YANG (34), Chia Hao LEE (19)",Tien Chen CHOU (7)
68322,Ayush SHETTY,5195,YONEX Swiss Open 2025,2025,23 March,Qual. QF,,
68322,Ayush SHETTY,5251,Orleans Masters Badminton 2025 presented by VICTOR,2025,9 March,SF,"Kean Yew LOH (10), Rasmus GEMKE (28)",Chun-Yi LIN (14)
68322,Ayush Shetty,5242,YONEX German Open 2025,2025,2 March,R32,,Jason Gunawan (42)
68322,Ayush SHETTY,5221,PRINCESS SIRIVANNAVARI Thailand Masters 2025,2025,2 February,R32,,Jing Hong KOK (76)
68322,Ayush Shetty,5234,DAIHATSU Indonesia Masters 2025,2025,26 January,R32,,Yu Qi Shi (2)
68870,Lakshya SEN,5236,KAPAL API Indonesia Open 2025,2025,8 June,R32,,Yu Qi SHI (2)
68870,Lakshya SEN,5282,KFF Singapore Badminton Open 2025,2025,1 June,R32,,Chun-Yi LIN (14)
68870,Lakshya SEN,5225,TOYOTA Thailand Open 2025,2025,18 May,R32,,Nhat NGUYEN (32)
68870,Lakshya Sen,5200,BANK OF NINGBO Badminton Asia Championships 2025,2025,13 April,R32,,Chia Hao Lee (19)
68870,Lakshya SEN,5238,YONEX All England Open Badminton Championships 2025,2025,16 March,QF,Jonatan CHRISTIE (5),Shi Feng LI (4)
68870,Lakshya SEN,5192,TSINGTAO Badminton Asia Mixed Team Championship 2025,2025,16 February,R2,,
68870,Lakshya Sen,5234,DAIHATSU Indonesia Masters 2025,2025,26 January,R16,,Kenta Nishimoto (13)
68870,Lakshya Sen,5268,YONEX-SUNRISE India Open 2025,2025,19 January,R32,,Chun-Yi Lin (14)
68870,Lakshya Sen,5222,PETRONAS Malaysia Open 2025,2025,12 January,R32,,Yu Jen Chi (31)
69093,Priyanshu RAJAWAT,5282,KFF Singapore Badminton Open 2025,2025,1 June,R32,,Kodai NARAOKA (6)
69093,Priyanshu RAJAWAT,5224,PERODUA Malaysia Masters 2025,2025,25 May,R32,,Jia Heng Jason TEH (24)
69093,Priyanshu RAJAWAT,5225,TOYOTA Thailand Open 2025,2025,18 May,R32,,Alwi FARHAN (29)
69093,Priyanshu Rajawat,5200,BANK OF NINGBO Badminton Asia Championships 2025,2025,13 April,R16,,Kodai Naraoka (6)
69093,Priyanshu RAJAWAT,5195,YONEX Swiss Open 2025,2025,23 March,R16,,Toma Junior POPOV (17)
69093,Priyanshu RAJAWAT,5251,Orleans Masters Badminton 2025 presented by VICTOR,2025,9 March,R32,,Alex LANIER (8)
69093,Priyanshu Rajawat,5242,YONEX German Open 2025,2025,2 March,R16,,Toma Junior Popov (17)
69093,Priyanshu Rajawat,5234,DAIHATSU Indonesia Masters 2025,2025,26 January,R32,,Kodai Naraoka (6)
69093,Priyanshu Rajawat,5268,YONEX-SUNRISE India Open 2025,2025,19 January,R32,,Kodai Naraoka (6)
69093,Priyanshu Rajawat,5222,PETRONAS Malaysia Open 2025,2025,12 January,R32,,Shi Feng Li (4)
70595,Shriyanshi VALISHETTY,5302,ST DENIS Reunion Open 2025,2025,18 May,SF,,Isharani BARUAH (79)
70595,Shriyanshi Valishetty,5404,V Mexican International Challenge 2025,2025,11 May,QF,,Shiori Ebihara
70595,Shriyanshi VALISHETTY,5195,YONEX Swiss Open 2025,2025,23 March,Qual. QF,,Kaloyana NALBANTOVA (77)
70595,Shriyanshi Valishetty,5279,Ruichang China Masters 2025,2025,16 March,R32,,Ni Kadek Dhinda Amartya Pratiwi (89)
70595,Shriyanshi VALISHETTY,5221,PRINCESS SIRIVANNAVARI Thailand Masters 2025,2025,2 February,R32,,Pitchamon OPATNIPUTH (57)
73173,V. Sindhu PUSARLA,5236,KAPAL API Indonesia Open 2025,2025,8 June,R16,,Pornpawee CHOCHUWONG (8)
73173,V. Sindhu PUSARLA,5282,KFF Singapore Badminton Open 2025,2025,1 June,R16,,Yu Fei CHEN (5)
73173,V. Sindhu PUSARLA,5224,PERODUA Malaysia Masters 2025,2025,25 May,R32,,Thuy Linh NGUYEN (24)
73173,V. Sindhu PUSARLA,5260,TotalEnergies BWF Sudirman Cup Finals 2025,2025,4 May,R2,,"Line HÃ¸jmark KJAERSFELDT (16), Putri Kusuma WARDANI (12)"
73173,V. Sindhu Pusarla,5200,BANK OF NINGBO Badminton Asia Championships 2025,2025,13 April,R16,,Akane Yamaguchi (3)
73173,V. Sindhu PUSARLA,5195,YONEX Swiss Open 2025,2025,23 March,R32,,Julie Dawall JAKOBSEN (30)
73173,V. Sindhu PUSARLA,5238,YONEX All England Open Badminton Championships 2025,2025,16 March,R32,,Ga Eun KIM (22)
73173,V. Sindhu Pusarla,5234,DAIHATSU Indonesia Masters 2025,2025,26 January,R32,,Thuy Linh Nguyen (24)
73173,V. Sindhu Pusarla,5268,YONEX-SUNRISE India Open 2025,2025,19 January,QF,Shuo Yun Sung (20),Gregoria Mariska Tunjung (6)
74481,Anupama UPADHYAYA,5236,KAPAL API Indonesia Open 2025,2025,8 June,R32,,Ga Eun KIM (22)
74481,Anupama UPADHYAYA,5282,KFF Singapore Badminton Open 2025,2025,1 June,R32,,Shuo Yun SUNG (20)
74481,Anupama UPADHYAYA,5225,TOYOTA Thailand Open 2025,2025,18 May,R32,,Ratchanok INTANON (10)
74481,Anupama UPADHYAYA,5233,YONEX Taipei Open 2025,2025,11 May,R32,,Unnati HOODA (38)
74481,Anupama UPADHYAYA,5260,TotalEnergies BWF Sudirman Cup Finals 2025,2025,4 May,R3,,
74481,Anupama Upadhyaya,5200,BANK OF NINGBO Badminton Asia Championships 2025,2025,13 April,R32,,Ratchanok Intanon (10)
74481,Anupama UPADHYAYA,5195,YONEX Swiss Open 2025,2025,23 March,R16,,Putri Kusuma WARDANI (12)
74481,Anupama Upadhyaya,5242,YONEX German Open 2025,2025,2 March,R32,,Shuo Yun Sung (20)
74481,Anupama Upadhyaya,5234,DAIHATSU Indonesia Masters 2025,2025,26 January,R32,,Gregoria Mariska Tunjung (6)
74481,Anupama Upadhyaya,5268,YONEX-SUNRISE India Open 2025,2025,19 January,R16,,Tomoka Miyazaki (7)
74481,Anupama Upadhyaya,5222,PETRONAS Malaysia Open 2025,2025,12 January,R32,,Pornpawee Chochuwong (8)
82572,Pranay SHETTIGAR,5302,ST DENIS Reunion Open 2025,2025,18 May,Qual. R16,,
82572,Pranay SHETTIGAR,5429,STATE Denmark Challenge 2025 presented by RSL,2025,11 May,R32,,Prahdiska Bagas SHUJIWO (89)
82572,Pranay Shettigar,5313,TOYOTA PHUKET International Series 2025,2025,6 April,R16,,Zi Jun Wang
82572,Pranay SHETTIGAR,5295,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2025,2025,30 March,Qual. R32,,Shahyar SHAQEEM
82572,Pranay Shettigar,5190,SBH Singapore International Challenge 2025,2025,23 February,Qual. R64,,
83950,H. S. PRANNOY,5236,KAPAL API Indonesia Open 2025,2025,8 June,R32,,Alwi FARHAN (29)
83950,H. S. PRANNOY,5282,KFF Singapore Badminton Open 2025,2025,1 June,R16,Rasmus GEMKE (28),Christo POPOV (20)
83950,H. S. PRANNOY,5224,PERODUA Malaysia Masters 2025,2025,25 May,R16,Kenta NISHIMOTO (13),Yushi TANAKA (22)
83950,H. S. PRANNOY,5260,TotalEnergies BWF Sudirman Cup Finals 2025,2025,4 May,R2,,"Anders ANTONSEN (3), Jonatan CHRISTIE (5)"
83950,H. S. Prannoy,5200,BANK OF NINGBO Badminton Asia Championships 2025,2025,13 April,R32,,Guang Zu Lu (11)
83950,H. S. PRANNOY,5195,YONEX Swiss Open 2025,2025,23 March,R32,,Srikanth KIDAMBI (50)
83950,H. S. PRANNOY,5238,YONEX All England Open Badminton Championships 2025,2025,16 March,R32,,Toma Junior POPOV (17)
83950,H. S. PRANNOY,5251,Orleans Masters Badminton 2025 presented by VICTOR,2025,9 March,R16,Tzu Wei WANG (26),Chun-Yi LIN (14)
83950,H. S. PRANNOY,5192,TSINGTAO Badminton Asia Mixed Team Championship 2025,2025,16 February,QF,,Kenta NISHIMOTO (13)
83950,H. S. Prannoy,5268,YONEX-SUNRISE India Open 2025,2025,19 January,R32,,Li  Yang Su (38)
83950,H. S. Prannoy,5222,PETRONAS Malaysia Open 2025,2025,12 January,R16,,Shi Feng Li (4)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5236,KAPAL API Indonesia Open 2025,2025,8 June,R32,,Supanida KATETHONG (9)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5282,KFF Singapore Badminton Open 2025,2025,1 June,R32,,Ga Eun KIM (22)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5225,TOYOTA Thailand Open 2025,2025,18 May,R32,,Jia Min YEO (11)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5233,YONEX Taipei Open 2025,2025,11 May,R32,,Yu Jin SIM (15)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5195,YONEX Swiss Open 2025,2025,23 March,R32,,Line CHRISTOPHERSEN (33)
91807,Rakshitha Sree Santhosh Ramraj,5242,YONEX German Open 2025,2025,2 March,QF,,Mia Blichfeldt (26)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5221,PRINCESS SIRIVANNAVARI Thailand Masters 2025,2025,2 February,QF,,Thamonwan NITHIITTIKRAI (72)
91807,Rakshitha Sree Santhosh Ramraj,5234,DAIHATSU Indonesia Masters 2025,2025,26 January,R32,,Tomoka Miyazaki (7)
91807,Rakshitha Sree Santhosh Ramraj,5268,YONEX-SUNRISE India Open 2025,2025,19 January,R32,,Anupama Upadhyaya (42)
97168,Aalisha NAIK,5395,Austrian Open 2025,2025,25 May,SF,,Amalie SCHULZ (67)
97168,Aalisha NAIK,5368,I FEEL SLOVENIA LI-NING Open 2025,2025,18 May,QF,,Yu Si WANG
97168,Aalisha NAIK,5301,KAWASAKI Slovak Open 2025,2025,10 May,SF,,
97168,Aalisha NAIK,5379,YONEX Luxembourg Open 2025,2025,4 May,Qual. R16,,
99042,Tanvi SHARMA,5302,ST DENIS Reunion Open 2025,2025,18 May,QF,,Isharani BARUAH (79)
99042,Tanvi SHARMA,5429,STATE Denmark Challenge 2025 presented by RSL,2025,11 May,SF,Polina BUHROVA (44),
99042,Tanvi SHARMA,5295,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2025,2025,30 March,R16,Ting Yu LIANG (62),Mutiara Ayu PUSPITASARI (73)
99042,Tanvi Sharma,5305,Polish Open 2025,2025,23 March,SF,Juliana Viana Vieira (58),Yi-Ting Hung (60)
