athlete_id,tournament_name,final_position,tournament_grade,tournament_year,tournament_date,notable_wins,lost_to
58664,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Yu Fei CHEN (5)
58664,YONEX Taipei Open 2025,R32,300,2025,11-May-2025,,Thamonwan NITHIITTIKRAI (72)
58664,YONEX Swiss Open 2025,R32,300,2025,23-Mar-2025,,Anupama UPADHYAYA (42)
58664,YONEX German Open 2025,R32,300,2025,25-Feb-2025,,Riko Gunji (31)
59687,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Zhi Yi WANG (2)
59687,PERODUA Malaysia Masters 2025,R32,500,2025,25-May-2025,,Hsiang Ti LIN (29)
59687,TOYOTA Thailand Open 2025,R32,500,2025,18-May-2025,,Pornpawee CHOCHUWONG (8)
59687,YONEX Taipei Open 2025,R32,300,2025,11-May-2025,,Tomoka MIYAZAKI (7)
59687,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2025,R32,G1_CC,2025,30-Mar-2025,,Yi En HSIEH
59687,Orleans Masters Badminton 2025 presented by VICTOR,R32,300,2025,09-Mar-2025,,Se Young AN (1)
68322,PERODUA Malaysia Masters 2025,R32,500,2025,25-May-2025,Brian YANG (34),Toma Junior POPOV (17)
68322,YONEX Taipei Open 2025,R32,300,2025,11-May-2025,"Chia Hao LEE (19), Brian YANG (34)",Tien Chen CHOU (7)
68322,Orleans Masters Badminton 2025 presented by VICTOR,R32,300,2025,09-Mar-2025,"Kean Yew LOH (10), Rasmus GEMKE (28)",Chun-Yi LIN (14)
68322,YONEX German Open 2025,R32,300,2025,25-Feb-2025,,Jason Gunawan (42)
68322,PRINCESS SIRIVANNAVARI Thailand Masters 2025,R32,300,2025,28-Jan-2025,,Jing Hong KOK (76)
68322,DAIHATSU Indonesia Masters 2025,R32,500,2025,26-Jan-2025,,Yu Qi Shi (2)
68870,KAPAL API Indonesia Open 2025,R32,1000,2025,08-Jun-2025,,Yu Qi SHI (2)
68870,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Chun-Yi LIN (14)
68870,TOYOTA Thailand Open 2025,R32,500,2025,18-May-2025,,Nhat NGUYEN (32)
68870,BANK OF NINGBO Badminton Asia Championships 2025,R32,G1_CC,2025,13-Apr-2025,,Chia Hao Lee (19)
68870,YONEX All England Open Badminton Championships 2025,R32,1000,2025,16-Mar-2025,Jonatan CHRISTIE (5),Shi Feng LI (4)
68870,DAIHATSU Indonesia Masters 2025,R32,500,2025,26-Jan-2025,,Kenta Nishimoto (13)
68870,YONEX-SUNRISE India Open 2025,R32,750,2025,19-Jan-2025,,Chun-Yi Lin (14)
68870,PETRONAS Malaysia Open 2025,R32,1000,2025,12-Jan-2025,,Yu Jen Chi (31)
69093,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Kodai NARAOKA (6)
69093,PERODUA Malaysia Masters 2025,R32,500,2025,25-May-2025,,Jia Heng Jason TEH (24)
69093,TOYOTA Thailand Open 2025,R32,500,2025,18-May-2025,,Alwi FARHAN (29)
69093,BANK OF NINGBO Badminton Asia Championships 2025,R32,G1_CC,2025,13-Apr-2025,,Kodai Naraoka (6)
69093,YONEX Swiss Open 2025,R32,300,2025,23-Mar-2025,,Toma Junior POPOV (17)
69093,Orleans Masters Badminton 2025 presented by VICTOR,R32,300,2025,09-Mar-2025,,Alex LANIER (8)
69093,YONEX German Open 2025,R32,300,2025,25-Feb-2025,,Toma Junior Popov (17)
69093,DAIHATSU Indonesia Masters 2025,R32,500,2025,26-Jan-2025,,Kodai Naraoka (6)
69093,YONEX-SUNRISE India Open 2025,R32,750,2025,19-Jan-2025,,Kodai Naraoka (6)
69093,PETRONAS Malaysia Open 2025,R32,1000,2025,12-Jan-2025,,Shi Feng Li (4)
70595,V Mexican International Challenge 2025,R32,G1_CC,2025,11-May-2025,,Shiori Ebihara
70595,Ruichang China Masters 2025,R32,100,2025,16-Mar-2025,,Ni Kadek Dhinda Amartya Pratiwi (89)
70595,PRINCESS SIRIVANNAVARI Thailand Masters 2025,R32,300,2025,28-Jan-2025,,Pitchamon OPATNIPUTH (57)
73173,KAPAL API Indonesia Open 2025,R32,1000,2025,08-Jun-2025,,Pornpawee CHOCHUWONG (8)
73173,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Yu Fei CHEN (5)
73173,PERODUA Malaysia Masters 2025,R32,500,2025,25-May-2025,,Thuy Linh NGUYEN (24)
73173,BANK OF NINGBO Badminton Asia Championships 2025,R32,G1_CC,2025,13-Apr-2025,,Akane Yamaguchi (3)
73173,YONEX Swiss Open 2025,R32,300,2025,23-Mar-2025,,Julie Dawall JAKOBSEN (30)
73173,YONEX All England Open Badminton Championships 2025,R32,1000,2025,16-Mar-2025,,Ga Eun KIM (22)
73173,DAIHATSU Indonesia Masters 2025,R32,500,2025,26-Jan-2025,,Thuy Linh Nguyen (24)
73173,YONEX-SUNRISE India Open 2025,R32,750,2025,19-Jan-2025,Shuo Yun Sung (20),Gregoria Mariska Tunjung (6)
74481,KAPAL API Indonesia Open 2025,R32,1000,2025,08-Jun-2025,,Ga Eun KIM (22)
74481,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Shuo Yun SUNG (20)
74481,TOYOTA Thailand Open 2025,R32,500,2025,18-May-2025,,Ratchanok INTANON (10)
74481,YONEX Taipei Open 2025,R32,300,2025,11-May-2025,,Unnati HOODA (38)
74481,BANK OF NINGBO Badminton Asia Championships 2025,R32,G1_CC,2025,13-Apr-2025,,Ratchanok Intanon (10)
74481,YONEX Swiss Open 2025,R32,300,2025,23-Mar-2025,,Putri Kusuma WARDANI (12)
74481,YONEX German Open 2025,R32,300,2025,25-Feb-2025,,Shuo Yun Sung (20)
74481,DAIHATSU Indonesia Masters 2025,R32,500,2025,26-Jan-2025,,Gregoria Mariska Tunjung (6)
74481,YONEX-SUNRISE India Open 2025,R32,750,2025,19-Jan-2025,,Tomoka Miyazaki (7)
74481,PETRONAS Malaysia Open 2025,R32,1000,2025,12-Jan-2025,,Pornpawee Chochuwong (8)
82572,STATE Denmark Challenge 2025 presented by RSL,R32,G1_CC,2025,11-May-2025,,Prahdiska Bagas SHUJIWO (89)
82572,TOYOTA PHUKET International Series 2025,R32,G1_CC,2025,06-Apr-2025,,Zi Jun Wang
83950,KAPAL API Indonesia Open 2025,R32,1000,2025,08-Jun-2025,,Alwi FARHAN (29)
83950,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,Rasmus GEMKE (28),Christo POPOV (20)
83950,PERODUA Malaysia Masters 2025,R32,500,2025,25-May-2025,Kenta NISHIMOTO (13),Yushi TANAKA (22)
83950,BANK OF NINGBO Badminton Asia Championships 2025,R32,G1_CC,2025,13-Apr-2025,,Guang Zu Lu (11)
83950,YONEX Swiss Open 2025,R32,300,2025,23-Mar-2025,,Srikanth KIDAMBI (50)
83950,YONEX All England Open Badminton Championships 2025,R32,1000,2025,16-Mar-2025,,Toma Junior POPOV (17)
83950,Orleans Masters Badminton 2025 presented by VICTOR,R32,300,2025,09-Mar-2025,Tzu Wei WANG (26),Chun-Yi LIN (14)
83950,TSINGTAO Badminton Asia Mixed Team Championship 2025,QF,G1_CC,2025,16-Feb-2025,,Kenta NISHIMOTO (13)
83950,YONEX-SUNRISE India Open 2025,R32,750,2025,19-Jan-2025,,Li  Yang Su (38)
83950,PETRONAS Malaysia Open 2025,R32,1000,2025,12-Jan-2025,,Shi Feng Li (4)
91807,KAPAL API Indonesia Open 2025,R32,1000,2025,08-Jun-2025,,Supanida KATETHONG (9)
91807,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Ga Eun KIM (22)
91807,TOYOTA Thailand Open 2025,R32,500,2025,18-May-2025,,Jia Min YEO (11)
91807,YONEX Taipei Open 2025,R32,300,2025,11-May-2025,,Yu Jin SIM (15)
91807,YONEX Swiss Open 2025,R32,300,2025,23-Mar-2025,,Line CHRISTOPHERSEN (33)
91807,YONEX German Open 2025,R32,300,2025,25-Feb-2025,,Mia Blichfeldt (26)
91807,PRINCESS SIRIVANNAVARI Thailand Masters 2025,R32,300,2025,28-Jan-2025,,Thamonwan NITHIITTIKRAI (72)
91807,DAIHATSU Indonesia Masters 2025,R32,500,2025,26-Jan-2025,,Tomoka Miyazaki (7)
91807,YONEX-SUNRISE India Open 2025,R32,750,2025,19-Jan-2025,,Anupama Upadhyaya (42)
97168,I FEEL SLOVENIA LI-NING Open 2025,R32,G1_CC,2025,18-May-2025,,Yu Si WANG
99042,ST DENIS Reunion Open 2025,R32,G1_CC,2025,18-May-2025,,Isharani BARUAH (79)
99042,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2025,R32,G1_CC,2025,30-Mar-2025,Ting Yu LIANG (62),Mutiara Ayu PUSPITASARI (73)
99042,Polish Open 2025,R32,G1_CC,2025,23-Mar-2025,Juliana Viana Vieira (58),Yi-Ting Hung (60)
