athlete_id,athlete_name,tournament_date,world_ranking,world_tour_ranking,olympic_rank
68870,Lakshya SEN,2025-01-07,12,8,
68870,Lakshya SEN,2025-01-14,12,6,
68870,Lakshya SEN,2025-01-21,10,6,
68870,Lakshya SEN,2025-01-28,10,6,
68870,Lakshya SEN,2025-02-04,10,6,
68870,Lakshya SEN,2025-02-11,10,6,
68870,Lakshya SEN,2025-02-18,10,6,
68870,Lakshya SEN,2025-02-25,10,6,
68870,Lakshya SEN,2025-03-04,10,10,
68870,Lakshya SEN,2025-03-11,15,13,
68870,Lakshya SEN,2025-03-18,18,9,
68870,Lakshya SEN,2025-03-25,18,12,
68870,Lakshya SEN,2025-04-01,16,12,
68870,Lakshya SEN,2025-04-08,16,12,
68870,Lakshya SEN,2025-04-15,18,12,
68870,Lakshya SEN,2025-04-22,18,12,
68870,Lakshya SEN,2025-04-29,18,12,
68870,Lakshya SEN,2025-05-06,19,12,
68870,Lakshya SEN,2025-05-13,18,15,
68870,Lakshya SEN,2025-05-20,16,15,
68870,Lakshya SEN,2025-05-27,17,22,
68870,Lakshya SEN,2025-06-03,18,23,
68870,Lakshya SEN,2025-06-10,22,25,
83950,PRANNOY H. S.,2025-01-07,26,44,
83950,PRANNOY H. S.,2025-01-14,26,22,
83950,PRANNOY H. S.,2025-01-21,31,24,
83950,PRANNOY H. S.,2025-01-28,31,35,
83950,PRANNOY H. S.,2025-02-04,31,40,
83950,PRANNOY H. S.,2025-02-11,31,40,
83950,PRANNOY H. S.,2025-02-18,31,40,
83950,PRANNOY H. S.,2025-02-25,31,40,
83950,PRANNOY H. S.,2025-03-04,30,44,
83950,PRANNOY H. S.,2025-03-11,29,40,
83950,PRANNOY H. S.,2025-03-18,28,33,
83950,PRANNOY H. S.,2025-03-25,29,35,
83950,PRANNOY H. S.,2025-04-01,29,35,
83950,PRANNOY H. S.,2025-04-08,29,35,
83950,PRANNOY H. S.,2025-04-15,30,35,
83950,PRANNOY H. S.,2025-04-22,30,35,
83950,PRANNOY H. S.,2025-04-29,30,35,
83950,PRANNOY H. S.,2025-05-06,35,35,
83950,PRANNOY H. S.,2025-05-13,35,37,
83950,PRANNOY H. S.,2025-05-20,35,42,
83950,PRANNOY H. S.,2025-05-27,34,36,
83950,PRANNOY H. S.,2025-06-03,33,34,
83950,PRANNOY H. S.,2025-06-10,33,32,
68322,Ayush SHETTY,2025-01-07,48,3,
68322,Ayush SHETTY,2025-01-14,47,7,
68322,Ayush SHETTY,2025-01-21,47,15,
68322,Ayush SHETTY,2025-01-28,46,17,
68322,Ayush SHETTY,2025-02-04,46,15,
68322,Ayush SHETTY,2025-02-11,47,15,
68322,Ayush SHETTY,2025-02-18,48,15,
68322,Ayush SHETTY,2025-02-25,48,15,
68322,Ayush SHETTY,2025-03-04,48,13,
68322,Ayush SHETTY,2025-03-11,43,4,
68322,Ayush SHETTY,2025-03-18,44,13,
68322,Ayush SHETTY,2025-03-25,44,16,
68322,Ayush SHETTY,2025-04-01,44,16,
68322,Ayush SHETTY,2025-04-08,44,16,
68322,Ayush SHETTY,2025-04-15,44,16,
68322,Ayush SHETTY,2025-04-22,44,16,
68322,Ayush SHETTY,2025-04-29,44,16,
68322,Ayush SHETTY,2025-05-06,44,16,
68322,Ayush SHETTY,2025-05-13,40,8,
68322,Ayush SHETTY,2025-05-20,41,11,
68322,Ayush SHETTY,2025-05-27,36,9,
68322,Ayush SHETTY,2025-06-03,36,16,
68322,Ayush SHETTY,2025-06-10,35,24,
69093,Priyanshu RAJAWAT,2025-01-07,34,7,
69093,Priyanshu RAJAWAT,2025-01-14,34,5,
69093,Priyanshu RAJAWAT,2025-01-21,36,5,
69093,Priyanshu RAJAWAT,2025-01-28,36,9,
69093,Priyanshu RAJAWAT,2025-02-04,37,9,
69093,Priyanshu RAJAWAT,2025-02-11,37,9,
69093,Priyanshu RAJAWAT,2025-02-18,37,9,
69093,Priyanshu RAJAWAT,2025-02-25,37,9,
69093,Priyanshu RAJAWAT,2025-03-04,36,7,
69093,Priyanshu RAJAWAT,2025-03-11,35,6,
69093,Priyanshu RAJAWAT,2025-03-18,35,19,
69093,Priyanshu RAJAWAT,2025-03-25,38,15,
69093,Priyanshu RAJAWAT,2025-04-01,38,15,
69093,Priyanshu RAJAWAT,2025-04-08,38,15,
69093,Priyanshu RAJAWAT,2025-04-15,36,15,
69093,Priyanshu RAJAWAT,2025-04-22,36,15,
69093,Priyanshu RAJAWAT,2025-04-29,36,15,
69093,Priyanshu RAJAWAT,2025-05-06,33,15,
69093,Priyanshu RAJAWAT,2025-05-13,33,18,
69093,Priyanshu RAJAWAT,2025-05-20,34,18,
69093,Priyanshu RAJAWAT,2025-05-27,35,19,
69093,Priyanshu RAJAWAT,2025-06-03,35,21,
69093,Priyanshu RAJAWAT,2025-06-10,38,26,
82572,Pranay SHETTIGAR,2025-01-07,315,39,
82572,Pranay SHETTIGAR,2025-01-14,316,69,
82572,Pranay SHETTIGAR,2025-01-21,313,70,
82572,Pranay SHETTIGAR,2025-01-28,311,71,
82572,Pranay SHETTIGAR,2025-02-04,311,79,
82572,Pranay SHETTIGAR,2025-02-11,309,79,
82572,Pranay SHETTIGAR,2025-02-18,314,79,
82572,Pranay SHETTIGAR,2025-02-25,283,79,
82572,Pranay SHETTIGAR,2025-03-04,286,84,
82572,Pranay SHETTIGAR,2025-03-11,284,85,
82572,Pranay SHETTIGAR,2025-03-18,285,92,
82572,Pranay SHETTIGAR,2025-03-25,284,93,
82572,Pranay SHETTIGAR,2025-04-01,279,93,
82572,Pranay SHETTIGAR,2025-04-08,254,93,
82572,Pranay SHETTIGAR,2025-04-15,255,93,
82572,Pranay SHETTIGAR,2025-04-22,254,93,
82572,Pranay SHETTIGAR,2025-04-29,253,93,
82572,Pranay SHETTIGAR,2025-05-06,246,93,
82572,Pranay SHETTIGAR,2025-05-13,224,95,
82572,Pranay SHETTIGAR,2025-05-20,200,96,
82572,Pranay SHETTIGAR,2025-05-27,202,97,
82572,Pranay SHETTIGAR,2025-06-03,202,97,
82572,Pranay SHETTIGAR,2025-06-10,202,97,
73173,PUSARLA V. Sindhu,2025-01-07,14,11,
73173,PUSARLA V. Sindhu,2025-01-14,16,19,
73173,PUSARLA V. Sindhu,2025-01-21,12,5,
73173,PUSARLA V. Sindhu,2025-01-28,13,7,
73173,PUSARLA V. Sindhu,2025-02-04,13,9,
73173,PUSARLA V. Sindhu,2025-02-11,13,9,
73173,PUSARLA V. Sindhu,2025-02-18,15,9,
73173,PUSARLA V. Sindhu,2025-02-25,15,9,
73173,PUSARLA V. Sindhu,2025-03-04,15,12,
73173,PUSARLA V. Sindhu,2025-03-11,16,16,
73173,PUSARLA V. Sindhu,2025-03-18,17,19,
73173,PUSARLA V. Sindhu,2025-03-25,17,14,
73173,PUSARLA V. Sindhu,2025-04-01,17,14,
73173,PUSARLA V. Sindhu,2025-04-08,17,14,
73173,PUSARLA V. Sindhu,2025-04-15,18,14,
73173,PUSARLA V. Sindhu,2025-04-22,18,14,
73173,PUSARLA V. Sindhu,2025-04-29,18,14,
73173,PUSARLA V. Sindhu,2025-05-06,16,14,
73173,PUSARLA V. Sindhu,2025-05-13,16,19,
73173,PUSARLA V. Sindhu,2025-05-20,16,26,
73173,PUSARLA V. Sindhu,2025-05-27,17,24,
73173,PUSARLA V. Sindhu,2025-06-03,21,19,
73173,PUSARLA V. Sindhu,2025-06-10,18,15,
59687,Unnati HOODA,2025-01-07,81,12,
59687,Unnati HOODA,2025-01-14,79,24,
59687,Unnati HOODA,2025-01-21,79,37,
59687,Unnati HOODA,2025-01-28,80,42,
59687,Unnati HOODA,2025-02-04,79,46,
59687,Unnati HOODA,2025-02-11,78,46,
59687,Unnati HOODA,2025-02-18,77,46,
59687,Unnati HOODA,2025-02-25,64,46,
59687,Unnati HOODA,2025-03-04,55,35,
59687,Unnati HOODA,2025-03-11,53,31,
59687,Unnati HOODA,2025-03-18,53,38,
59687,Unnati HOODA,2025-03-25,55,42,
59687,Unnati HOODA,2025-04-01,55,42,
59687,Unnati HOODA,2025-04-08,55,42,
59687,Unnati HOODA,2025-04-15,54,42,
59687,Unnati HOODA,2025-04-22,54,42,
59687,Unnati HOODA,2025-04-29,54,42,
59687,Unnati HOODA,2025-05-06,53,42,
59687,Unnati HOODA,2025-05-13,45,30,
59687,Unnati HOODA,2025-05-20,42,22,
59687,Unnati HOODA,2025-05-27,43,21,
59687,Unnati HOODA,2025-06-03,38,20,
59687,Unnati HOODA,2025-06-10,38,26,
74481,Anupama UPADHYAYA,2025-01-07,45,20,
74481,Anupama UPADHYAYA,2025-01-14,43,18,
74481,Anupama UPADHYAYA,2025-01-21,42,10,
74481,Anupama UPADHYAYA,2025-01-28,42,12,
74481,Anupama UPADHYAYA,2025-02-04,43,14,
74481,Anupama UPADHYAYA,2025-02-11,43,14,
74481,Anupama UPADHYAYA,2025-02-18,44,14,
74481,Anupama UPADHYAYA,2025-02-25,44,14,
74481,Anupama UPADHYAYA,2025-03-04,45,13,
74481,Anupama UPADHYAYA,2025-03-11,43,17,
74481,Anupama UPADHYAYA,2025-03-18,43,27,
74481,Anupama UPADHYAYA,2025-03-25,44,24,
74481,Anupama UPADHYAYA,2025-04-01,44,24,
74481,Anupama UPADHYAYA,2025-04-08,45,24,
74481,Anupama UPADHYAYA,2025-04-15,44,24,
74481,Anupama UPADHYAYA,2025-04-22,44,24,
74481,Anupama UPADHYAYA,2025-04-29,44,24,
74481,Anupama UPADHYAYA,2025-05-06,42,24,
74481,Anupama UPADHYAYA,2025-05-13,43,20,
74481,Anupama UPADHYAYA,2025-05-20,43,19,
74481,Anupama UPADHYAYA,2025-05-27,44,25,
74481,Anupama UPADHYAYA,2025-06-03,42,23,
74481,Anupama UPADHYAYA,2025-06-10,40,23,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-01-07,49,14,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-01-14,49,26,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-01-21,48,24,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-01-28,48,24,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-02-04,46,12,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-02-11,47,12,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-02-18,47,12,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-02-25,46,12,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-03-04,46,6,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-03-11,45,9,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-03-18,45,18,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-03-25,45,13,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-04-01,45,13,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-04-08,44,13,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-04-15,42,13,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-04-22,42,13,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-04-29,42,13,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-05-06,41,13,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-05-13,42,15,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-05-20,45,12,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-05-27,45,18,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-06-03,43,18,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-06-10,41,20,
58664,Anmol KHARB,2025-01-07,66,4,
58664,Anmol KHARB,2025-01-14,66,7,
58664,Anmol KHARB,2025-01-21,66,18,
58664,Anmol KHARB,2025-01-28,67,28,
58664,Anmol KHARB,2025-02-04,69,31,
58664,Anmol KHARB,2025-02-11,66,31,
58664,Anmol KHARB,2025-02-18,65,31,
58664,Anmol KHARB,2025-02-25,67,31,
58664,Anmol KHARB,2025-03-04,65,29,
58664,Anmol KHARB,2025-03-11,62,35,
58664,Anmol KHARB,2025-03-18,62,40,
58664,Anmol KHARB,2025-03-25,67,38,
58664,Anmol KHARB,2025-04-01,65,38,
58664,Anmol KHARB,2025-04-08,67,38,
58664,Anmol KHARB,2025-04-15,67,38,
58664,Anmol KHARB,2025-04-22,67,38,
58664,Anmol KHARB,2025-04-29,67,38,
58664,Anmol KHARB,2025-05-06,68,38,
58664,Anmol KHARB,2025-05-13,68,37,
58664,Anmol KHARB,2025-05-20,69,42,
58664,Anmol KHARB,2025-05-27,70,43,
58664,Anmol KHARB,2025-06-03,65,38,
58664,Anmol KHARB,2025-06-10,64,39,
99042,Tanvi SHARMA,2025-01-07,101,4,
99042,Tanvi SHARMA,2025-01-14,100,7,
99042,Tanvi SHARMA,2025-01-21,100,18,
99042,Tanvi SHARMA,2025-01-28,100,28,
99042,Tanvi SHARMA,2025-02-04,106,31,
99042,Tanvi SHARMA,2025-02-11,104,31,
99042,Tanvi SHARMA,2025-02-18,103,31,
99042,Tanvi SHARMA,2025-02-25,104,31,
99042,Tanvi SHARMA,2025-03-04,105,37,
99042,Tanvi SHARMA,2025-03-11,105,39,
99042,Tanvi SHARMA,2025-03-18,104,44,
99042,Tanvi SHARMA,2025-03-25,87,48,
99042,Tanvi SHARMA,2025-04-01,83,48,
99042,Tanvi SHARMA,2025-04-08,84,48,
99042,Tanvi SHARMA,2025-04-15,86,48,
99042,Tanvi SHARMA,2025-04-22,86,48,
99042,Tanvi SHARMA,2025-04-29,86,48,
99042,Tanvi SHARMA,2025-05-06,89,48,
99042,Tanvi SHARMA,2025-05-13,70,53,
99042,Tanvi SHARMA,2025-05-20,68,57,
99042,Tanvi SHARMA,2025-05-27,69,63,
99042,Tanvi SHARMA,2025-06-03,70,65,
99042,Tanvi SHARMA,2025-06-10,70,66,
70595,Shriyanshi VALISHETTY,2025-01-07,90,3,
70595,Shriyanshi VALISHETTY,2025-01-14,90,6,
70595,Shriyanshi VALISHETTY,2025-01-21,89,17,
70595,Shriyanshi VALISHETTY,2025-01-28,89,26,
70595,Shriyanshi VALISHETTY,2025-02-04,86,21,
70595,Shriyanshi VALISHETTY,2025-02-11,83,21,
70595,Shriyanshi VALISHETTY,2025-02-18,83,21,
70595,Shriyanshi VALISHETTY,2025-02-25,84,21,
70595,Shriyanshi VALISHETTY,2025-03-04,82,25,
70595,Shriyanshi VALISHETTY,2025-03-11,82,33,
70595,Shriyanshi VALISHETTY,2025-03-18,83,32,
70595,Shriyanshi VALISHETTY,2025-03-25,83,36,
70595,Shriyanshi VALISHETTY,2025-04-01,82,36,
70595,Shriyanshi VALISHETTY,2025-04-08,83,36,
70595,Shriyanshi VALISHETTY,2025-04-15,85,36,
70595,Shriyanshi VALISHETTY,2025-04-22,85,36,
70595,Shriyanshi VALISHETTY,2025-04-29,85,36,
70595,Shriyanshi VALISHETTY,2025-05-06,84,36,
70595,Shriyanshi VALISHETTY,2025-05-13,82,39,
70595,Shriyanshi VALISHETTY,2025-05-20,77,45,
70595,Shriyanshi VALISHETTY,2025-05-27,78,47,
70595,Shriyanshi VALISHETTY,2025-06-03,76,48,
70595,Shriyanshi VALISHETTY,2025-06-10,76,51,
97168,AALISHA NAIK,2025-01-07,860,51,
97168,AALISHA NAIK,2025-01-14,860,51,
97168,AALISHA NAIK,2025-01-21,856,51,
97168,AALISHA NAIK,2025-01-28,858,51,
97168,AALISHA NAIK,2025-02-04,865,51,
97168,AALISHA NAIK,2025-02-11,860,51,
97168,AALISHA NAIK,2025-02-18,886,51,
97168,AALISHA NAIK,2025-02-25,890,51,
97168,AALISHA NAIK,2025-03-04,890,51,
97168,AALISHA NAIK,2025-03-11,887,51,
97168,AALISHA NAIK,2025-03-18,886,51,
97168,AALISHA NAIK,2025-03-25,887,51,
97168,AALISHA NAIK,2025-04-01,884,51,
97168,AALISHA NAIK,2025-04-08,876,51,
97168,AALISHA NAIK,2025-04-15,870,51,
97168,AALISHA NAIK,2025-04-22,867,51,
97168,AALISHA NAIK,2025-04-29,862,51,
97168,AALISHA NAIK,2025-05-06,449,51,
97168,AALISHA NAIK,2025-05-13,336,51,
97168,AALISHA NAIK,2025-05-20,284,51,
97168,AALISHA NAIK,2025-05-27,229,51,
97168,AALISHA NAIK,2025-06-03,227,51,
97168,AALISHA NAIK,2025-06-10,225,51,
68870,Lakshya SEN,2025-06-17,21,51,
68322,Ayush SHETTY,2025-06-17,34,51,
83950,PRANNOY H. S.,2025-06-17,35,51,
69093,Priyanshu RAJAWAT,2025-06-17,37,51,
82572,Pranay SHETTIGAR,2025-06-17,196,51,
73173,PUSARLA V. Sindhu,2025-06-17,18,51,
59687,Unnati HOODA,2025-06-17,37,51,
91807,Rakshitha Sree SANTHOSH RAMRAJ,2025-06-17,39,51,
74481,Anupama UPADHYAYA,2025-06-17,42,51,
58664,Anmol KHARB,2025-06-17,63,51,
99042,Tanvi SHARMA,2025-06-17,66,51,
70595,Shriyanshi VALISHETTY,2025-06-17,74,51,
97168,AALISHA NAIK,2025-06-17,221,51,
